iter	Passed	Remaining
402	11529	17078
403	11555	17047
404	11584	17018
405	11611	16987
406	11639	16959
407	11668	16931
408	11697	16903
409	11726	16874
410	11755	16847
411	11784	16819
412	11814	16791
413	11844	16764
414	11872	16735
415	11901	16707
416	11927	16675
417	11957	16648
418	11984	16618
419	12013	16589
420	12041	16560
421	12067	16529
422	12094	16498
423	12123	16470
424	12150	16439
425	12176	16407
426	12204	16377
427	12231	16346
428	12257	16314
429	12283	16283
430	12308	16250
431	12334	16217
432	12360	16185
433	12387	16155
434	12415	16126
435	12444	16097
436	12470	16066
437	12497	16035
438	12525	16005
439	12551	15975
440	12578	15944
441	12606	15915
442	12633	15884
443	12661	15855
444	12688	15824
445	12711	15789
446	12738	15759
447	12764	15728
448	12792	15698
449	12819	15668
450	12844	15636
451	12871	15605
452	12899	15575
453	12927	15546
454	12954	15516
455	12983	15488
456	13013	15462
457	13040	15432
458	13067	15402
459	13093	15371
460	13119	15339
461	13147	15310
462	13176	15281
463	13204	15253
464	13232	15224
465	13260	15195
466	13289	15167
467	13315	15136
468	13342	15106
469	13370	15076
470	13400	15050
471	13427	15020
472	13455	14992
473	13481	14960
474	13510	14932
475	13539	14904
476	13565	14874
477	13593	14845
478	13622	14817
479	13651	14789
480	13679	14759
481	13706	14730
482	13736	14703
483	13761	14671
484	13790	14643
485	13818	14614
486	13846	14585
487	13873	14555
488	13902	14527
489	13930	14498
490	13958	14469
491	13985	14440
492	14014	14412
493	14041	14382
494	14069	14353
495	14096	14323
496	14122	14293
497	14150	14264
498	14178	14235
499	14205	14205
500	14229	14172
501	14256	14142
502	14278	14107
503	14306	14079
504	14334	14050
505	14362	14021
506	14390	13993
507	14420	13966
508	14447	13936
509	14475	13907
510	14503	13879
511	14531	13850
512	14556	13818
513	14582	13788
514	14610	13759
515	14637	13729
516	14661	13697
517	14686	13666
518	14712	13635
519	14738	13604
520	14763	13573
521	14899	13643
522	14926	13613
523	14952	13582
524	14974	13548
525	15000	13517
526	15024	13484
527	15047	13451
528	15070	13417
529	15097	13388
530	15124	13358
531	15153	13330
532	15181	13301
533	15211	13274
534	15241	13246
535	15269	13218
536	15296	13188
537	15324	13159
538	15353	13131
539	15381	13102
540	15410	13074
541	15442	13049
542	15468	13018
543	15495	12989
544	15520	12957
545	15549	12929
546	15578	12901
547	15608	12874
548	15636	12845
549	15666	12817
550	15695	12789
551	15722	12760
552	15753	12733
553	15783	12706
554	15814	12679
555	15841	12650
556	15867	12619
557	15896	12591
558	15924	12562
559	15951	12532
560	15979	12504
561	16005	12474
562	16034	12445
563	16063	12417
564	16091	12389
565	16120	12360
566	16147	12331
567	16175	12302
568	16203	12273
569	16232	12245
570	16261	12217
571	16290	12189
572	16319	12161
573	16350	12134
574	16379	12106
575	16409	12079
576	16437	12050
577	16468	12023
578	16495	11993
579	16524	11965
580	16552	11937
581	16581	11909
582	16610	11880
583	16638	11852
584	16668	11824
585	16697	11796
586	16725	11767
587	16754	11739
588	16783	11711
589	16809	11681
590	16834	11650
591	16861	11621
592	16889	11592
593	16916	11562
594	16942	11532
595	16971	11504
596	16999	11475
597	17025	11445
598	17050	11414
599	17078	11385
600	17107	11357
601	17134	11327
602	17162	11299
603	17189	11269
604	17214	11239
605	17240	11209
606	17272	11183
607	17301	11154
608	17328	11125
609	17355	11096
610	17380	11065
611	17406	11035
612	17434	11006
613	17459	10975
614	17486	10946
615	17511	10916
616	17537	10886
617	17560	10854
618	17583	10822
619	17607	10791
620	17629	10759
621	17652	10727
622	17676	10696
623	17701	10666
624	17725	10635
625	17750	10604
626	17773	10573
627	17793	10540
628	17815	10508
629	17838	10476
630	17861	10445
631	17886	10415
632	17913	10385
633	17938	10355
634	17965	10326
635	17992	10297
636	18024	10271
637	18049	10241
638	18076	10212
639	18104	10183
640	18127	10152
641	18153	10123
642	18175	10091
643	18205	10063
644	18234	10035
645	18294	10025
646	18326	9999
647	18354	9970
648	18380	9940
649	18406	9911
650	18432	9881
651	18456	9851
652	18480	9820
653	18507	9791
654	18534	9762
655	18558	9731
656	18583	9701
657	18608	9671
658	18636	9643
659	18662	9614
660	18688	9584
661	18714	9555
662	18740	9525
663	18767	9496
664	18792	9467
665	18820	9438
666	18847	9409
667	18873	9380
668	18900	9351
669	18929	9323
670	18961	9296
671	18988	9268
672	19014	9239
673	19038	9208
674	19066	9180
675	19098	9153
676	19123	9123
677	19148	9094
678	19175	9065
679	19202	9036
680	19230	9008
681	19257	8979
682	19282	8949
683	19309	8920
684	19335	8891
685	19363	8863
686	19390	8834
687	19417	8805
688	19445	8777
689	19470	8747
690	19499	8719
691	19527	8691
692	19554	8662
693	19582	8634
694	19610	8605
695	19637	8577
696	19664	8548
697	19693	8520
698	19718	8490
699	19742	8461
700	19768	8431
701	19794	8402
702	19817	8372
703	19842	8342
704	19867	8313
705	19893	8284
706	19916	8253
707	19938	8223
708	19961	8192
709	19987	8163
710	20013	8134
711	20041	8106
712	20069	8078
713	20099	8051
714	20129	8023
715	20156	7995
716	20183	7966
717	20210	7937
718	20239	7909
719	20266	7881
720	20293	7852
721	20320	7824
722	20347	7795
723	20375	7767
724	20402	7738
725	20430	7710
726	20458	7682
727	20485	7653
728	20513	7625
729	20540	7597
730	20565	7567
731	20591	7538
732	20618	7510
733	20643	7481
734	20669	7452
735	20695	7423
736	20723	7395
737	20749	7366
738	20777	7338
739	20801	7308
740	20827	7279
741	20852	7250
742	20877	7221
743	20906	7193
744	20931	7164
745	20954	7134
746	20978	7105
747	21001	7075
748	21024	7045
749	21046	7015
750	21067	6985
751	21090	6955
752	21118	6927
753	21142	6897
754	21168	6869
755	21191	6839
756	21214	6809
757	21238	6780
758	21264	6751
759	21286	6722
760	21315	6694
761	21347	6667
762	21378	6640
763	21405	6612
764	21430	6583
765	21455	6554
766	21477	6524
767	21502	6495
768	21525	6465
769	21549	6436
770	21575	6408
771	21602	6380
772	21630	6352
773	21658	6324
774	21685	6295
775	21711	6267
776	21737	6238
777	21764	6210
778	21790	6181
779	21821	6154
780	21851	6127
781	21877	6098
782	21904	6070
783	21932	6042
784	21960	6014
785	21988	5986
786	22018	5959
787	22043	5930
788	22067	5901
789	22088	5871
790	22111	5842
791	22138	5814
792	22168	5786
793	22197	5758
794	22225	5731
795	22255	5703
796	22283	5675
797	22311	5647
798	22339	5619
799	22366	5591
800	22394	5563
801	22418	5534
802	22446	5506
803	22473	5478
804	22501	5450
805	22528	5422
806	22554	5394
807	22583	5366
808	22612	5338
809	22643	5311
810	22669	5283
811	22698	5255
812	22724	5226
813	22753	5199
814	22874	5192
815	22901	5164
816	22929	5135
817	22952	5106
818	22972	5076
819	22993	5047
820	23016	5018
821	23043	4989
822	23067	4960
823	23094	4932
824	23121	4904
825	23147	4876
826	23176	4848
827	23201	4819
828	23228	4791
829	23256	4763
830	23283	4735
831	23309	4706
832	23334	4678
833	23362	4650
834	23389	4621
835	23415	4593
836	23443	4565
837	23468	4536
838	23498	4509
839	23527	4481
840	23554	4453
841	23581	4425
842	23609	4397
843	23635	4368
844	23663	4340
845	23691	4312
846	23718	4284
847	23746	4256
848	23772	4228
849	23839	4207
850	23880	4181
851	23906	4152
852	23930	4124
853	23957	4095
854	23980	4066
855	24004	4038
856	24025	4008
857	24048	3980
858	24074	3951
859	24098	3923
860	24127	3895
861	24157	3867
862	24183	3839
863	24210	3810
864	24238	3782
865	24263	3754
866	24289	3726
867	24316	3697
868	24346	3670
869	24374	3642
870	24404	3614
871	24431	3586
872	24459	3558
873	24487	3530
874	24516	3502
875	24543	3474
876	24571	3446
877	24599	3418
878	24625	3389
879	24652	3361
880	24679	3333
881	24707	3305
882	24736	3277
883	24764	3249
884	24793	3221
885	24823	3193
886	24852	3166
887	24879	3137
888	24906	3109
889	24935	3081
890	24966	3054
891	24994	3026
892	25026	2998
893	25056	2970
894	25086	2943
895	25112	2914
896	25151	2888
897	25177	2859
898	25207	2831
899	25233	2803
900	25263	2775
901	25290	2747
902	25318	2719
903	25348	2691
904	25376	2663
905	25403	2635
906	25430	2607
907	25457	2579
908	25482	2551
909	25515	2523
910	25539	2495
911	25567	2467
912	25597	2439
913	25624	2411
914	25651	2382
915	25676	2354
916	25704	2326
917	25730	2298
918	25758	2270
919	25786	2242
920	25814	2214
921	25842	2186
922	25872	2158
923	25899	2130
924	25928	2102
925	25957	2074
926	25985	2046
927	26008	2017
928	26035	1989
929	26061	1961
930	26090	1933
931	26118	1905
932	26146	1877
933	26180	1850
934	26206	1821
935	26232	1793
936	26258	1765
937	26288	1737
938	26317	1709
939	26349	1681
940	26373	1653
941	26399	1625
942	26427	1597
943	26452	1569
944	26478	1541
945	26505	1512
946	26533	1484
947	26562	1457
948	26589	1428
949	26617	1400
950	26646	1372
951	26671	1344
952	26700	1316
953	26730	1288
954	26760	1260
955	26788	1232
956	26816	1204
957	26843	1176
958	26866	1148
959	26893	1120
960	26918	1092
961	26944	1064
962	26968	1036
963	26993	1008
964	27018	979
965	27045	951
966	27071	923
967	27100	895
968	27128	867
969	27158	839
970	27185	811
971	27212	783
972	27237	755
973	27265	727
974	27294	699
975	27323	671
976	27352	643
977	27382	615
978	27411	587
979	27441	560
980	27469	532
981	27494	503
982	27521	475
983	27547	447
984	27572	419
985	27596	391
986	27624	363
987	27650	335
988	27677	307
989	27704	279
990	27728	251
991	27756	223
992	27782	195
993	27811	167
994	27837	139
995	27866	111
996	27891	83
997	27915	55
998	27945	27
999	27972	0
